ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Instructio,Intro,ToolDang_1,ToolDang_2,ToolDang_3,ToolDang_4,ToolDang_5,ToolDang_6,GunDang_1,GunDang_2,GunDang_3,GunDang_4,GunDang_5,GunDang_6,SnakeDang_1,SnakeDang_2,SnakeDang_3,SnakeDang_4,SnakeDang_5,SnakeDang_6,RopeDang_1,RopeDang_2,RopeDang_3,RopeDang_4,RopeDang_5,RopeDang_6,BBallDang_1,BBallDang_2,BBallDang_3,BBallDang_4,BBallDang_5,BBallDang_6,OrDang_1,OrDang_2,OrDang_3,OrDang_4,OrDang_5,OrDang_6,WinDang_1,WinDang_2,WinDang_3,WinDang_4,WinDang_5,WinDang_6,DoorDang_1,DoorDang_2,DoorDang_3,DoorDang_4,DoorDang_5,DoorDang_6,Intro,STTools_1,STTools_2,STTools_3,STTools_4,STTools_5,STTools_6,ST Guns_1,ST Guns_2,ST Guns_3,ST Guns_4,ST Guns_5,ST Guns_6,ST Snakes_1,ST Snakes_2,ST Snakes_3,ST Snakes_4,ST Snakes_5,ST Snakes_6,STRope_1,STRope_2,STRope_3,STRope_4,STRope_5,STRope_6,STBBall_1,STBBall_2,STBBall_3,STBBall_4,STBBall_5,STBBall_6,STFruit_1,STFruit_2,STFruit_3,STFruit_4,STFruit_5,STFruit_6,STWindow_1,STWindow_2,STWindow_3,STWindow_4,STWindow_5,STWindow_6,STDoor_1,STDoor_2,STDoor_3,STDoor_4,STDoor_5,STDoor_6,Age,Gender,RaceD,RaceChoose_1,RaceChoose_2,RaceChoose_3,RaceChoose_4,RaceChoose_5,RaceChoose_6,RaceChoose_6_TEXT,Q85,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,We are getting some baseline ratings / for stimuli we plan to use in other studies. Before we use t...,"You will rate 8 sets of objects. For / each object, please indicate how dangerous that object is.","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t1.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t2.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t3.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t4.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t5.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t6.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g1.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g2.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g3.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g4.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g5.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g6.bmp"" /></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake1.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake2.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake3.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake4.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake5.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake6.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope1.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope2.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope3.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope4.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope5.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope6.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball1.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball2.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball3.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball4.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball5.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball6.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit1.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit2.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit3.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit4.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit5.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit6.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window1.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window2.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window3.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window4.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window5.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window6.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door1.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door2.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door3.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door4.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door5.jpg"" height=""150""/></div>","How dangerous are each of the following things?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door6.jpg"" height=""150""/></div>","You will see 8 sets of objects. For / each object, we are interested in getting ratings of how much...","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t1.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t2.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t3.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t4.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t5.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/t6.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g1.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g2.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g3.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g4.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g5.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/g6.bmp"" /></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake1.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake2.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake3.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake4.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake5.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/snake6.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope1.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope2.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope3.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope4.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope5.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/rope6.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball1.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball2.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball3.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball4.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball5.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Basketball6.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit1.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit2.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit3.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit4.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit5.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/Fruit6.jpg"" height=""150""/></div>","How much are these stereotypically associated with Black people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window1.jpg"" height=""150""/></div>","How much are these stereotypically associated with Black people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window2.jpg"" height=""150""/></div>","How much are these stereotypically associated with Black people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window3.jpg"" height=""150""/></div>","How much are these stereotypically associated with Black people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window4.jpg"" height=""150""/></div>","How much are these stereotypically associated with Black people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window5.jpg"" height=""150""/></div>","How much are these stereotypically associated with Black people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/window6.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door1.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door2.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door3.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door4.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door5.jpg"" height=""150""/></div>","How much are these things stereotypically associated with Black / people?-<div style=""text-align: center;""><img src=""http://web.stanford.edu/~ncamp/Stim/wepstim/door6.jpg"" height=""150""/></div>",What is your age?,What is your gender?,How would you describe your race/ethnicity?,"Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">American Indian/Native American</span>","Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">Asian or Asian-American</span>","Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">Black or African-American</span>","Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">Hispanic or Latino</span>","Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">White, Caucasian, Anglo, European American; not Hispanic</span>","Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">Other</span>","Please check all the racial/ethnic identities below that apply to you:-<span style=""font-size:16px;"">Other</span>-TEXT",Any questions or comments about the study? We appreciate feedback!,LocationLatitude,LocationLongitude,LocationAccuracy
R_8B6UYefDpIX4vgp,Default Response Set,Anonymous,,,99.7.198.140,0,2/4/15 14:31,2/4/15 14:33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,0,Hispanic,,,,1,,,,,29.76719666,-95.1588974,-1
R_3sC1BQDquYbH5MV,Default Response Set,Anonymous,,,108.31.50.39,0,2/4/15 14:31,2/4/15 14:33,1,1,1,7,5,4,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,white,,,,,1,,,,38.86399841,-77.19219971,-1
R_9Smv3DiFvJKZKAZ,Default Response Set,Anonymous,,,174.53.245.196,0,2/4/15 14:31,2/4/15 14:34,1,1,1,2,1,1,1,1,1,6,6,6,6,6,6,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,asian,,1,,,,,,,45.00280762,-93.08260345,-1
R_6WgoESq4WuJ0XUV,Default Response Set,Anonymous,,,68.56.141.217,0,2/4/15 14:32,2/4/15 14:34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,white,,,,,1,,,,42.27340698,-83.71330261,-1
R_e8lLYpI2KRIB1fD,Default Response Set,Anonymous,,,71.194.237.218,0,2/4/15 14:32,2/4/15 14:34,1,1,1,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,White,,,,,1,,,,41.4631958,-87.69300079,-1
R_3dt2NmTjd9YG9Fz,Default Response Set,Anonymous,,,99.47.88.218,0,2/4/15 14:32,2/4/15 14:35,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,7,7,7,7,7,7,2,2,2,2,2,2,6,6,6,6,6,6,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,52,0,BLACK,,,1,,,,,,33.07350159,-96.90319824,-1
R_0I2IM4NhuWVW0QJ,Default Response Set,Anonymous,,,72.239.134.11,0,2/4/15 14:31,2/4/15 14:35,1,1,1,7,6,4,4,6,5,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,Hispanic,,,,1,,,,,29.57060242,-81.21749878,-1
R_9oxDEQkkqC3MheJ,Default Response Set,Anonymous,,,68.32.245.224,0,2/4/15 14:31,2/4/15 14:35,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,3,3,4,4,4,4,3,3,4,6,7,5,5,4,4,5,3,2,4,4,7,3,4,4,3,3,4,6,5,4,4,4,3,6,3,4,3,5,5,3,3,2,6,4,4,2,38,1,asian,,1,,,,,,,35.90859985,-86.78109741,-1
R_eR8ULz9Nc9Nu7f7,Default Response Set,Anonymous,,,72.60.254.52,0,2/4/15 14:33,2/4/15 14:36,1,1,1,3,4,4,4,4,3,4,3,3,4,4,4,5,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,4,4,,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,Hispanic,,,,1,,,,Great study!,39.26730347,-76.7983017,-1
