"workerid","prime","target","accuracy","rt","responded","age","gender","ethnicity","expt"
"A16M46MK3XDRCL","w","neutral",1,468,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,438,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,437,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,327,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,367,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,483,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,483,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,472,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,364,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,486,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,423,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,484,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,419,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,435,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,413,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,397,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,413,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,380,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,497,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,393,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,457,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,478,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,417,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",0,421,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,347,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",0,378,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",0,436,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,458,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,443,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,401,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,402,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",0,402,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",0,363,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",0,403,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",0,491,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,431,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,366,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,458,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,444,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,388,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,369,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,449,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,363,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,353,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,390,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,467,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,472,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,469,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,452,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,477,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,379,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",0,372,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,430,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,408,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,398,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",0,424,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,379,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,362,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,449,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",0,418,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",0,0,0,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,393,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",1,462,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","neutral",0,385,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",0,447,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,417,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,418,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,422,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,432,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","neutral",1,472,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,385,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,438,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","b","threat",1,372,1,"39","0","1","Face->Gun"
"A16M46MK3XDRCL","w","threat",1,384,1,"39","0","1","Face->Gun"
"A16TESTJICU76L","b","neutral",0,0,0,"24","1","5","Face->Gun"
"A16TESTJICU76L","b","neutral",1,450,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","w","threat",0,308,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","b","threat",1,460,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","b","neutral",0,0,0,"24","1","5","Face->Gun"
"A16TESTJICU76L","w","neutral",1,116,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","w","neutral",1,261,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","b","threat",1,228,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","b","threat",0,252,1,"24","1","5","Face->Gun"
"A16TESTJICU76L","w","threat",0,228,1,"24","1","5","Face->Gun"
